"name","type","country","flavor_profile","origin","harvest_season","code","price_per_kg","price_per_pkg","grade","altitude","density","processing_method","variety"
"秘鲁 禅茶玛悠 瑰夏 黄蜜处理","premium","秘鲁","茉莉 果香 柑橘 柠檬 蜂蜜甜 红糖 麦芽 口感顺滑","禅茶玛悠/COOPCHE （库普合作社）","2025","S15-2","","","SHB","1800M","865g/l","黄蜜处理","GEISHA"
"萨尔瓦多 戈巴多庄园 彩虹波旁厌氧日晒","premium","萨尔瓦多","葡萄 苹果 莓果 柠檬 坚果 巧克力 甜感好 风味浓郁 口感圆润顺滑","Finca El Gobiado/Ahuachapán","2023","S16-1","150.0","140.0","SHB","1300M","887g/l","厌氧日晒处理","Orange Yellow & Red Bourbon"
"危地马拉 阿蒂特兰 蓝宝石 SHB水洗 （内袋）","premium","危地马拉","果香 青色水果 坚果 奶油巧克力 口感醇厚","ATITLAN","2023","S18","98.0","88.0","SHB","1500‒1700M","848g/l","水洗处理","Bourbon Caturra"
"危地马拉 安提瓜 拉米尼塔 花神","premium","危地马拉","独有的花香气息结合柔顺清新的柑橘滋味 让花香与水果甜香交织出个性十足却又完美和谐 核果 可可 酸质圆润 BODY细致","Antigua/拉米尼塔","2024","S18-1","112.0","102.0","SHB","1200‒1600M","836g/l","水洗处理","卡杜拉 卡杜艾 波旁"
"巴拿马 翡翠庄园 瑰夏 绿标 水洗","premium","巴拿马","玫瑰花香 甜杏 柑橘 菠萝 蜂蜜与柑橘香气 果汁感","翡翠庄园/El velo","2023","S20-5","760.0","","SHB","1600M以上","868g/l","水洗处理","Geisha"
"巴拿马 翡翠庄园 瑰夏 绿标 日晒","premium","巴拿马","茉莉花 葡萄柚 热带水果 蜂蜜 果汁感","翡翠庄园/Cañas Verdès","2024","S20-4","990.0","","SHB","1750M","895g/l","日晒处理","Geisha"
"巴拿马 翡翠庄园 红标 瑰夏 日晒","premium","巴拿马","茉莉花 树莓 芒果 蜂蜜 果汁感 质地干净 风味优雅","翡翠庄园 地块: El Velo/Portón （波顿）","2024","S20-2","2300.0","","SHB","1600-1800M","886g/l","日晒处理","Geisha"
"巴拿马 翡翠庄园 红标 瑰夏 水洗","premium","巴拿马","玫瑰花 柠檬草 柑橘 佛手柑 蔗糖","翡翠庄园 地块: trapiche/坎纳斯","2024","S20-3","2000.0","","SHB","1700M以上","845g/l","水洗处理","Geisha"
"巴拿马 黛博拉庄园 无氧发酵日晒 瑰夏（二氧化碳浸渍日晒瑰夏）","premium","巴拿马","茉莉花 柳橙汁 葡萄 车厘子 红茶","黛博拉庄园","2023","S21","","","SHB","2000-2350M","889g/l","无氧发酵日晒处理","Geisha"
"巴拿马 艾利达庄园 慢速干燥厌氧发酵日晒 瑰夏","premium","巴拿马","无花果 芒果干 柑橘 蜜糖吐司 酸甜滑顺 尾韵枫糖与温带水果茶","Boquete/ Elida Estate","2023","S21-1","","","SHB","1900M","865g/l","厌氧发酵低温慢速日晒","Geisha"
"巴拿马 驴子庄园 瑰夏 ASD厌氧慢速日晒","premium","巴拿马","香瓜 波罗蜜 发酵 蓝莓 可可 层次感丰富 酸甜平衡 口感圆润滑顺","Boquete/ EI Burro Estate","2023","S21-2","920.0","","SHB","1700-1800M","829g/l","厌氧慢速日晒","Geisha"
"巴拿马 卡萨路易斯庄园 瑰夏 日晒","premium","巴拿马","茉莉花 水蜜桃 佛手柑 凤梨 莓果","Boquete Finca Casa Ruiz","2023","S22-4","560.0","","SHB","1700M","843g/l","日晒处理","Geisha"
"巴拿马 90+ Volcan Valley 瑰夏","premium","巴拿马","樱桃 西梅 覆盆子 米酒","Ninety Plus","2023","S22-5","395.0","","SHB","1500-1700M","875g/l","90+处理法","Geisha"
"巴拿马 詹森庄园 水洗 瑰夏","premium","巴拿马","花香 柑橘 柠檬 桃子 多汁感","詹森庄园","2025","S22-6","890.0","","SHB","1550M","843g/l","水洗处理法","Geisha"
"巴拿马 玛玛卡特庄园 瑰夏 蓝标 厌氧日晒","premium","巴拿马","紫葡萄 红糖 凤梨 桃子 橘子糖","巴拿马波奎特","2023","S21-7","350.0","","SHB","1675-1700M","862g/l","厌氧日晒","Geisha"
"巴拿马 科特瓦女巫庄园 瑰夏 日晒","premium","巴拿马","葡萄干 紅酒 胡椒 蜜饯 加州李子","巴拿马波奎特","2024","S22","568.0","","SHB","1700M","850g/l","日晒处理","Geisha"
"巴拿马 科特瓦女巫庄园 帝比卡 厌氧日晒","premium","巴拿马","红酒 葡萄干 加州李子 香料 蜜饯","巴拿马波奎特","2024","S22-1","","","SHB","1700M","870g/l","厌氧日晒","Typica"
"巴拿马 维纳斯 小农 瑰夏 蓝标 水洗","premium","巴拿马","茉莉花 柑橘 葡萄柚 牛奶糖 蜂蜜 香水柠檬 入口纯净甘甜 醇厚丝滑 层次分明 让人陶醉","波奎特","2024","S22-7","","","SHB","1700-1800M","865g/l","水洗处理","Geisha"
"巴拿马 波奎特 艾尔维拉庄园 瑰夏 蓝标 水洗","premium","巴拿马","茉莉花香 柑橘 橙子 苹果 柠檬茶","Boquete/Elvira Estate","2024","S21-5","500.0","","SHB","1550-1850M","854g/l","水洗处理","Geisha"
"巴拿马 玛玛卡特庄园 瑰夏 蓝标 水洗","premium","巴拿马","迷人的花茶 茉莉花香 蜂蜜与柑橘香气 有清新活泼的柠檬酸 入口纯净甘甜 醇厚丝滑 层次分明 让人陶醉","巴拿马波奎特","2024","S21-6A","380.0","380.0","SHB","1675-1700M","836g/l","水洗处理","Geisha"
"卢旺达 基加利 水洗","premium","卢旺达","凤梨 葡萄柚 柑橘 茶感尾韵","Kigal","2024","S24","","","A","1650-1900M","","水洗处理","Bourbon Typica"
"巴拿马 雷利达庄园 帝比卡 水洗","premium","巴拿马","柑橘 莓果 水果香气 酸质细腻干净 焦糖甜 圆润爽口","Boquete/Lerida Estate","2024","S23-3","","","SHB","1850M","873g/l","水洗处理","Typica"
"坦桑尼亚 阿鲁沙庄园 小红莓 AB 精品","premium","坦桑尼亚","莓果 红色水果 红茶 轻红酒感 柔酸","Arusha/梅鲁火山","2023","S45","","","AB","1800M","790g/l","水洗处理","Bourbon"
"巴拿马 波奎特 花蝴蝶70%瑰夏 厌氧日晒","premium","巴拿马","花香 柑橘 苹果 李子与热带水果风味 香瓜甜感 尾韵带出淡淡红茶香气","Boquete","2024","S22-8","","","SHB","1600-1700M","860g/l","厌氧日晒处理","70%Geisha Catuai caturra"
"巴拿马ABU 阿布庄园 卡杜拉 日晒","premium","巴拿马ABU","红酒 奇异果 凤梨 蜂蜜","阿布庄园","2024","S23-1","","","SHB","1550M","852g/l","日晒处理","卡杜拉"
"巴拿马 波奎特 花蝴蝶70%瑰夏 水洗","premium","巴拿马","花香 佛手柑 蜂蜜 柑橘 莓果 茶香 樱桃 果汁甜 酸细致不刺激 干净度佳 余韵细腻 香气持久 经典翡翠庄园Geisha风味","Boquete","2024","S22-8A","","","SHB","1400-1700M","865g/l","水洗处理","70%Geisha Catuai caturra"
"墨西哥 法帝玛庄园 日晒","premium","墨西哥","百香果 凤梨 枫糖 葡萄干 蜂蜜","Veracruz/Coatepec","2023","S25","","","SHG","1500-1650M","","日晒处理","Marsellesa"
"雪莉.洪都拉斯 莫卡庄园 威士忌酒桶发酵处理","premium","雪莉.洪都拉斯","香草 威士忌 蜂蜜 奶油","Masaguara 马萨瓜拉","2025","S69-1","","","SHG","1500-1700M","835g/l","威士忌酒桶发酵","卡杜拉 卡杜艾"
"荔枝兰.洪都拉斯 莫卡庄园 白兰地酒桶发酵水洗","premium","荔枝兰.洪都拉斯","荔枝 白兰地 蜜瓜 蜂蜜","Masaguara 马萨瓜拉","2024","S69","","","SHG","1500-1700M","794g/l","白兰地酒桶发酵水洗","Typica 铁皮卡"
"牙买加 蓝山NO.1 圣科纳 黑桶庄园","premium","牙买加","热带莓果 奶油 黑巧克力 可可 甜感足易入口 入口丝滑度高 口感细腻 回味甜甘明显","","","","","","","","","",""
"牙买加 斯东尼庄园 蓝山一号 圆豆","premium","牙买加","香蕉 树莓 红色浆果的水果香气 甘蔗 覆盆子甜味明显 柠檬酸 苹果酸 口感跳跃有层次 复杂度高 回味甜","STONELEIGH蓝山","2025","S26-5","","","G1","1642M","843g/l","水洗处理","BLUE MOUNTAIN"
"牙买加 斯东尼庄园 蓝山一号 水洗","premium","牙买加","茶树花香 黑莓 甘蔗的水果香气 奶油 核桃 碧根果 黑巧克力味明显 微苹果酸 入口柔顺度高口感圆润 平衡稳定 回味甘甜","STONELEIGH蓝山","2025","S26-6","","","G1","1642M","835g/l","水洗处理","BLUE MOUNTAIN"
"牙买加 蓝山 柯娜斯黛尔庄园 NO.1 水洗","premium","牙买加","花生酱 巧克力 焦糖 龙井绿茶 核果 均衡感好 层次丰富 有粘稠感 挂杯持久","CINCHONA ESTATE蓝山","2025","S26","","","G1","1676M","885g/l","水洗处理","BLUE MOUNTAIN"
"牙买加 蓝山 柯娜斯黛尔庄园 NO.1 水洗","premium","牙买加","花生酱 巧克力 焦糖 龙井绿茶 核果 均衡感好 层次丰富 有粘稠感 挂杯持久","CLYDESDALE","2025","S26-4","","","NO.1","1200 - 1400M","882g/l","水洗处理","BLUE MOUNTAIN"
"哥伦比亚 甘蔗处理 EA低因咖啡","premium","哥伦比亚","黑巧克力 焦糖 平衡 口感顺滑 香醇甘甜","HUILA","2025","S27-3","","","Supremo","1300-1800M","","EA处理法","Castillo Caturra Typica"
"哥伦比亚 牧羊人庄园 粉波旁 椰子糖","premium","哥伦比亚","椰子干 椰子奶糖 太妃糖 巧克力 柑橘 李子 成熟水果 口感柔顺 余韵轻香料","","2025","S27","","","","1700-1750M","835g/l","水果酵素厌氧水洗","粉红波旁"
"哥伦比亚 美景庄园 玲珑蜜瓜","premium","哥伦比亚","哈密瓜 西瓜 蜂蜜 焦糖","考卡/Buenas Vistas庄园","2024","S27-1","","","Supremo","2000M","834g/l","水果酵素水洗","卡杜拉"
"哥伦比亚 蒙特利尔庄园 瑰夏 （2023冬季COE冠军）","premium","哥伦比亚","突出花香 柑橘 杏桃 红色樱桃 红茶 多汁浆果 传统的花香调性 橙皮 尾韵悠长 柔顺醇厚 甜度佳 均衡自然","Finca Montreal","2024","S27-7","495.0","","Supremo","2050M","861g/l","双重发酵水洗","瑰夏"
"哥伦比亚 双重厌氧水洗 瑰夏 栀子之花","premium","哥伦比亚","栀子花 柑橘 绿茶 葡萄柚 复杂水果 花香突出","Palestine","2024","S27-9","230.0","","Supremo","1850M+","850g/l","双重发酵水洗","瑰夏"
"哥伦比亚 穆雅庄园 红酒桶酒香发酵水洗","premium","哥伦比亚","红葡萄酒 葡萄 樱桃 核果","穆雅庄园","2024","S27-6","","","Supremo","1500-1600M","843g/l","红酒桶酒香发酵水洗","Caturra/Bourbon/Castillo"
"哥伦比亚 阿那亚庄园 西瓜","premium","哥伦比亚","西瓜 葡萄柚 水蜜桃 冰淇淋 蜜瓜调水果饮料 风味清新自然","慧兰 / Finca ANAYA","2025","S27-1S","","","supremo","1600M+","836g/l","西瓜酵素水洗","改良铁皮卡"
"哥伦比亚 诺加莱斯庄园 黄铁皮卡 菌种酵母水洗","premium","哥伦比亚","哈密瓜 菠萝 香槟 苹果汁 酒渍樱桃","Finca Los Nogales","2025","S27","","","Supremo","1850M","890g/l","热冲击． 酵母厌氧水洗","黄铁皮卡"
"哥伦比亚 愉悦庄园 辣椒波旁 厌氧蜜处理","premium","哥伦比亚","肉桂 熏衣草 佛手柑 靑苹果 绿葡萄","慧兰 庄园 ： El Placer","2025","S27A","","","Supremo","1800M","836g/l","厌氧蜜处理","辣椒波旁"
"哥伦比亚 娜玲珑 17/18目","premium","哥伦比亚","莓果 柑橘 香气十足 甜度高 与明亮的果酸呼应 巧克力余韵","Narino","2024","S27-2","","","Supremo","1800 - 2150M","845g/l","水洗处理","Caturra"
"哥伦比亚 泉水庄园 瑰夏 水洗","premium","哥伦比亚","茉莉花 蜜橘 枫糖 葡萄柚 饱满精致","慧兰 HUILA","2023","S27-10","290.0","","supremo","1750M+","834g/l","精致水洗处理","GEISHA"
"哥伦比亚 阿尔代庄园 瑰夏 水洗","premium","哥伦比亚","紫色花香浓郁 柠檬草 椰子片 绿茶尾韵","慧兰Huila Finca La Aldea","2023","S28-1","350.0","","Supremo","1860M+","885g/l","水洗处理","瑰夏Geisha"
"哥伦比亚 分界线庄园 瑰夏 水洗","premium","哥伦比亚","花香 红茶 柑橘 柠檬草 body厚实","慧兰Huila Finca El Diviso","2023","S28-4","280.0","","Supremo","1800M","830g/l","水洗处理","瑰夏Geisha"
"哥伦比亚 分界线庄园 双重厌氧水洗 希爪","premium","哥伦比亚","花香 姜 黄色水果 橙子 薄荷 柠檬酸 酸质明亮 顺滑body","慧兰Huila Finca El Diviso","2023","S28-6","","","Supremo","1700M","846g/l","双重厌氧水洗处理","Sidra希爪"
"哥伦比亚 分界线庄园 双重发酵日晒 希爪","premium","哥伦比亚","花香 热带水果 荔枝 百香果 木瓜 顺滑body 回甘甜","慧兰Huila Finca El Diviso","2025","S28-7","","","Supremo","1700M","852g/l","双重发酵日晒处理","Sidra希爪"
"哥伦比亚 分界线庄园 瑰夏 日晒","premium","哥伦比亚","玫瑰花 柑橘 桃子 冰葡萄 覆盆子 复合热带水果 利口酒 发酵感好 高甜度 干净度高","慧兰Huila Finca El Diviso","2025","S28-5","","","Supremo","1800M","871g/l","日晒处理","瑰夏Geisha"
"哥伦比亚 白山庄园 瑰夏 厌氧水洗","premium","哥伦比亚","茉莉花 柠檬 红苹果 桃子 蜂蜜 奶油 典型瑰夏风味","Monteblanco/HUILA","2024","S27-12","","","Supremo","1700-1850M","846g/l","厌氧水洗处理","GEISHA"
"哥伦比亚 分界线庄园 辣椒波旁 厌氧日晒","premium","哥伦比亚","西瓜 覆盆子 葡萄 杏桃 香水梨 红酒 玫瑰 醇厚 甜度佳","慧兰Huila Finca El Diviso","2024","S28-8","","","Supremo","1750-1850M","836g/l","厌氧日晒","Aji Bourbon"
"哥伦比亚 红宝石庄园 瑰夏 日晒","premium","哥伦比亚","突出的茉莉花香 甜橙 柑橘 杏桃 红色成熟水果 薄荷味","慧兰Huila Finca El Rubi","2023","S28-2","280.0","","Supremo","1700-1800M","880g/l","日晒处理","瑰夏Geisha"
"哥伦比亚 贝塔尼亚庄园 厌氧日晒 瑰夏","premium","哥伦比亚","葡萄干 可可 红苹果 红糖果味 带有朗姆酒 红苹果 香蕉和柔滑口感的果味饮料","慧兰Huila Finca Betania","2025","S28-3","250.0","","Supremo","1800M","837g/l","90小时厌氧发酵日晒处理","瑰夏Geisha"
"哥伦比亚 希望庄园 瑰夏 厌氧水洗","premium","哥伦比亚","茉莉花 柑橘 莓果 蔗糖 柠檬草香气 整体风味细致优雅","La Esperanza庄园","2024","S28","360.0","","Supremo","1800M","819g/l","厌氧水洗处理","100%Geisha"
"哥伦比亚 独木舟庄园 瑰夏 蜜处理","premium","哥伦比亚","花香 芒果 红莓 蜂蜜茶 饱满多汁","HUILA 独木舟庄园 LA PIRAGUA","2023","S27-11","250.0","","Supremo","1800+M","833g/l","蜜处理","Gesha瑰夏"
"哥伦比亚 漫步庄园 瑰夏 半水洗","premium","哥伦比亚","橙子 橘子 花香和柠檬草 红糖 带有茉莉花 松树和柠檬草的香气 香气浓郁 口感柔滑","娜玲珑/ Finca El Paseo","2025","S27-10S","200.0","","supremo","1800M+","842g/l","半水洗处理","GEISHA"
"云南 保山潞江坝 日晒 （芒丈）","premium","云南","浆果 红酒 樱桃 巧克力 香气十足","保山潞江坝","2025","S62","83.0","75.0","AA","1400M","835g/l","日晒","卡蒂姆Catimor"
"云南孟连 红酒日晒","premium","云南孟连","花香 浆果 红酒 樱桃 巧克力 风味干净","普洱孟连","2025","S62-2","83.0","75.0","AA","1400-1500M","832g/l","红酒日晒","卡蒂姆Catimor"
"云南普洱 思茅 红酒日晒","premium","云南普洱","红酒 莓果 热带水果 焦糖 巧克力","思茅 袍仗山","2025","S61","84.0","76.0","AA","1300-1500M","","红酒日晒","卡蒂姆Catimor"
"云南 孟连 双重厌氧发酵日晒 （重发酵）","premium","云南","圣女果 柑橘 热带水果 黑醋栗 红茶","普洱孟连","2025","S62-3","81.0","73.0","AA","1600M","805g/l","双重厌氧发酵日晒","卡蒂姆Catimor"
"云南 西双版纳 紫叶卡杜拉 水洗","premium","云南","白色花香 砂糖橘 橙子 苹果 奶油 车厘子 绿茶 口感很干净 顺滑","西双版纳 勐海 西定","2025","S65","95.0","86.0","AA","1800M","860g/l","K72水洗","紫叶卡杜拉 （德热296）"
"云南 雪莉","premium","云南","香草 橡木 威士忌 奶油","云南","2025","S66","135.0","125.0","AA","1400M","853g/l","酵母浸渍处理法","卡蒂姆"
"云南 茉莉","premium","云南","茉莉 白色花朵 柑橘甜 焦糖","云南","2024","S66-1","120.0","110.0","AA","1400M","847g/l","酵母浸渍处理法","卡蒂姆"
"云南 奶油草莓","premium","云南","奶油 草莓 莓果 香气浓郁","云南","2025","S66-2","140.0","130.0","AA","1400M+","828g/l","酵母浸渍处理法","卡蒂姆"
"云南 普洱 思茅 日晒","premium","云南","柑橘 樱桃 甜橙 焦糖 可可 香气浓郁 甜感好","澜沧江畔","2025","S64","83.0","75.0","AA","1400-1600M","832g/l","日晒处理","卡蒂姆"
"印度尼西亚 亚齐 塔瓦湖 厌氧日晒","premium","印度尼西亚","柑橘 香橙 香料 枫糖","亚齐省/塔瓦湖","2024","S2-4","105.0","95.0","G1","1400M","852g/l","厌氧日晒","Catimor"
"印度尼西亚 苏门答腊 多巴湖 黄金曼特宁19目","premium","印度尼西亚","平衡 醇厚度高 果酸明亮 坚果 甜巧克力 焦糖 余韵悠长","苏门答腊/多巴湖","2025","S1-1","111.0","103.0","G1","1100-1500 m","837g/l","湿刨法","Mandeling"
"印度尼西亚 苏门答腊 黄金曼特宁 PWN","premium","印度尼西亚","口感醇厚 巧克力 焦糖甜香明显 带有薄荷和果酸风味","苏门答腊","2025","S1-3","152.0","142.0","G1","1350-1500M","858g/l","湿刨法","铁皮卡"
"印度尼西亚 苏门答腊岛 亚齐 日晒曼特宁","premium","印度尼西亚","哈密瓜 凤梨 莓果 花香 香料 可可脂","苏门答腊岛.亚齐省","2024","S1-4","135.0","125.0","G1","1300-1400M","887g/l","日晒处理","Catimor"
"印度尼西亚 中爪哇 日晒 黄钻","premium","印度尼西亚","凤梨 糖浆 花香 莓果 高甜感","","","S2","120.0","105.0","","","","日晒",""
"印度尼西亚 苏门答腊 黄金曼特宁20目(颗粒饱满）","premium","印度尼西亚","干净 醇厚度高 焦糖甜香明显 果酸明亮","苏门答腊","2025","S1-2","123.0","113.0","G1","1000-1700M","830g/l","湿刨法","Mandeling"
"印度尼西亚 苏门答腊 黄金曼特宁21目","premium","印度尼西亚","干净 醇厚度高 莓果 花香 香料 黑巧克力 高甜","苏门答腊","2025","","126.0","113.0","G1","1600-1800M","853g/l","湿刨法","Mandeling"
"印度尼西亚 瓦哈那庄园 曼特宁龙果 日晒 （长豆）","premium","印度尼西亚","哈蜜瓜 香瓜 奶油香气 低酸 温和及清爽的口感","北苏门答腊多巴湖 / 瓦哈那庄园","2023","S2-5","109.0","102.0","G1三次手选","1300M","866g/l","日晒处理","Long berry"
"印度尼西亚 亚齐 曼特宁龙果长豆 半水洗","premium","印度尼西亚","花香 奶油 橙子 蔗糖 巧克力 坚果 柔顺","亚齐 塔瓦湖","2025","S3","135.0","120.0","GR1 TP/三次手选","1600M","877g/l","半水洗","Abbysinia"
"巴布亚新几内亚 西格里庄园 天堂鸟 AA","premium","巴布亚新几内亚","焦糖甜明显 水果软糖带着蜂蜜香气 黑巧克力 奶油 松木 香料","西格里庄园/ Wahgi山谷","2024","S4-2","91.0","81.0","AA","1500-1800M","845g/l","水洗处理","Typica"
"巴布亚新几内亚 科尔布兰庄园 瑰夏 水洗","premium","巴布亚新几内亚","百香果 桃子 红苹果 红茶 黑巧克力 干枣 甜感很好 口感厚实丰富","东高地/科尔布兰庄园","2024","S4","285.0","","AA","1829M","832g/l","水洗处理","GEISHA"
"巴西 摩吉安娜 翠鸟 黄波旁","premium","巴西","坚果 巧克力 甘蔗 口感柔滑细腻 尾韵持久","South Minas","2024","S5-2","","","NY.2","1000-1200M","847g/l","日晒处理","Yellow bourbon"
"哥斯达黎加 托布希庄园 Villasarchi 日晒","premium","哥斯达黎加","酒香 芒果干 深黑巧克力 黑醋栗 枫糖","TOBOSI 庄园","2023","S8","145.0","135.0","SHB","2000M","875g/l","日晒处理","Villasarchi"
"哥斯达黎加 小蜜蜂 日晒","premium","哥斯达黎加","葡萄干 养乐多 苹果 康普茶","SAN VITO / LA ABEJILLA FARM","2023","S6-1","145.0","135.0","SHB","1600M","903g/l","日晒处理","Venecia"
"哥斯达黎加 火凤凰庄园 蓝宝石 慢速日晒","premium","哥斯达黎加","无花果酱 橘子 黑糖 乌龙茶","火凤凰庄园/中央山谷","2023","S10","130.0","120.0","SHB","1600M","912g/l","慢速日晒","Caturra Catuai"
"哥斯达黎加 马丁帕迪拉处理厂 厌氧日晒","premium","哥斯达黎加","葡萄酒 蓝莓 芒果 桃子酸奶 杏桃 果汁与复杂的酒感","塔拉珠","2023","S8-1","143.0","130.0","SHB","1800M","896g/l","厌氧日晒处理","Villa Lobos薇拉罗伯斯"
"哥斯达黎加 女神庄园 瑰夏 酵素水洗","premium","哥斯达黎加","蔓越莓 青苹果 奇异果 蔗糖 青茶","Dota/女神庄园","2025","S8-2","280.0","","SHB","1800M","835g/l","水洗处理","Geisha"
"哥斯达黎加 女神庄园 瑰夏 厌氧日晒","premium","哥斯达黎加","蓝莓 水蜜桃 甜瓜 热带水果 蜂蜜 奶油 甜度高 Body质感佳 层次分明","Dota/女神庄园","2024","S8-2A","490.0","","SHB","1800M","852g/l","厌氧日晒","Geisha"
"哥斯达黎加 巨石庄园 瑰夏 日晒","premium","哥斯达黎加","花香 甜橙 菠萝 葡萄 高甜度 风味丰富多变","Finca Casa de Piedra","2023","S8-3","320.0","","SHB","1500-1700M","877g/l","日晒处理","Geisha"
"坦桑尼亚 乞力马扎罗 圆豆PB","common","坦桑尼亚","柑橘 莓果 坚果 巧克力 香味浓 口感干净 醇厚","坦桑尼亚","2024","T-2","89.0","","PB","1500M-1900M","825g/l","水洗处理","Bourbon Catura"
"坦桑尼亚 乞力马扎罗 AA","common","坦桑尼亚","坚果 巧克力 香味浓 口感干净 丰富 醇厚","Kilimanjaro","2025","T-1","82.0","","AA","1500M-1900M","825g/l","水洗处理","Bourbon Catura"
"坦桑尼亚 乞力马扎罗 AAA","common","坦桑尼亚","香味浓 柑橘 莓果 浓郁爽口 坚果巧克力 均衡感佳 口感干净丰富","Kilimanjaro","2025","T-0","84.0","","AAA","1500M-1900M","807g/l","水洗处理","铁比卡"
"肯尼亚 涅里 AB","common","肯尼亚","柑橘 莓果 小番茄 干净度好","Nyeri","2025","K-2","91.0","","AB","1650M","875g/l","水洗处理","SL28 SL34"
"肯尼亚 涅里 奥塔亚 AA","common","肯尼亚","花香 莓果 柑橘 黄糖 红茶","OTHAYA","2025","K-1","97.0","","AA","1840M","862g/l","水洗处理","SL28 SL34"
"埃塞俄比亚 西达摩 G3 日晒","common","埃塞俄比亚","酒香 草莓 茉莉花香 可可 巧克力","Sidamo","2025","E-1S","81.0","","G3","2000-2200M","840g/l","日晒处理","Heirloom"
"埃塞俄比亚 西达摩 G3 精品 日晒 （MPC低瑕疵）","common","埃塞俄比亚","柑橘 草莓 茉莉花香 可可 巧克力","Sidamo","2025","E-1X","93.0","","G3","2000-2200M","851g/l","日晒处理","Heirloom"
"埃塞俄比亚 拉卡姆帝 G3 日晒 （低瑕疵）","common","埃塞俄比亚","酸质柔和 热带水果 摩卡 巧克力 可可 BODY厚实","LEKEMPTI","2025","E-2","80.0","","G3","1800-2100M","858g/l","日晒处理","Heirloom"
"埃塞俄比亚 西达摩 G4 日晒 （2025新产季）","common","埃塞俄比亚","花香 柑橘 莓果 热带水果 坚果 甘甜 香醇","Sidamo","2025","E-1A","76.0","","G4","1500-2000M","867g/l","日晒处理","Heirloom"
"埃塞俄比亚 LEKEMPTI G4 日晒","common","埃塞俄比亚","类似摩卡咖啡豆风味 巧克力 果香 酸度较低 有很好的醇厚度 口感细腻丰富 风味甚佳","LEKEMPTI","2025","E-1","73.0","","G4","2000M","g/l","日晒处理","Heirloom"
"埃塞俄比亚 古齐 G4 Premium 精选日晒 (内袋)","common","埃塞俄比亚","柠檬 柑橘 成熟水果调 可可 香醇 干净","GUJI","2025","E-1B","78.0","","G4Premium","1500-2000M","867g/l","日晒处理","Heirloom"
"埃塞俄比亚 吉玛G4日晒 精选 （MPC 内袋低瑕疵）","common","埃塞俄比亚","茉莉花香 柑橘 成熟水果调 红葡萄酒 口感干净","Djimmah/MPC处理厂","2025","E-1C","83.0","","G4 （相当于普通G2）","1800M","873g/l","日晒处理","Heirloom"
"埃塞俄比亚 耶加 沃卡G2 日晒","common","埃塞俄比亚","柑橘 莓果 番石榴 雪梨 红糖甜","YIRGACHEFFE WORKA","2025","E-3","82.0","","G2","1750-2100M","868g/l","日晒处理","Heirloom"
"埃塞俄比亚 班其玛吉 贝贝卡 瑰夏 G3 日晒 精品 （超低瑕疵）","common","埃塞俄比亚","柑橘 柚子 热带水果 丰富浓郁的水果风味 成熟果实的甜感","BENCH MAJI","2025","E-2A","95.0","","G3","1900M","882g/l","日晒处理","GEISHA"
"埃塞俄比亚 西达摩G2 精选 水洗 （内袋）","common","埃塞俄比亚","花香 柠檬 柑橘 草莓 甜感好 口感干净","SIDAMO","2025","E-6S","81.0","","G2","1950-2150M","865g/l","水洗处理","Heirloom"
"埃塞俄比亚 班可 果丁丁 G1 水洗 （2023产季）","common","埃塞俄比亚","花香 甜橙 莓果 坚果","Banko Gotiti","2023","E-5","84.0","","G1","2050-2280M","865g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 G2 水洗 （2025新产季）","common","埃塞俄比亚","茉莉花香 莓果香 柠檬 柑橘 口感干净顺滑","YIRGACHEFFE","2025","E-8","83.0","","G2","1800-2000M","860g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 科切尔G2 水洗","common","埃塞俄比亚","茉莉花香 莓果香 柠檬 柑橘 口感干净顺滑","KOCHERE","2025","E-8S","77.0","","G2","1950-2000M","862g/l","水洗处理","Heirloom"
"埃塞俄比亚 YIRGACHEFFE G2 水洗","common","埃塞俄比亚","花香 柠檬 柑橘 酸度柔和 甜感好 口感干净","YIRGACHEFFE","2025","E-7","81.0","","G2","1950-2000M","847g/l","水洗处理","Heirloom"
"埃塞俄比亚 卡法 G2 水洗","common","埃塞俄比亚","橙子 李子 柑橘酸 青柠 绿茶尾韵","卡法森林","2025","E-9","78.0","","G2","1800M","843g/l","水洗处理","Heirloom"
"埃塞俄比亚 Bench Maji 瑰夏G2 水洗","common","埃塞俄比亚","花香 柑橘 热带水果 口感干净","Bench Maji","2025","E-9S","85.0","","G2","1900M+","865g/l","水洗处理","GEISHA"
"埃塞俄比亚 利姆 杰拉庄园 G2水洗 精品","common","埃塞俄比亚","花香 柑橘 苹果 李子 樱桃 酸质明亮 焦糖 口感非常干净","Limu/Oromia","2025","E-10","82.0","","G2","1876-2188M","854g/l","水洗处理","74110&74112"
"埃塞俄比亚 利姆 水洗 UG","common","埃塞俄比亚","柠檬 柑橘 枫糖 奶油 风味干净","LIMU","2025","E-11","70.0","","UG","1850-2000M","836g/l","水洗处理","Heirloom"
"埃塞俄比亚 安娜索拉 酵素水洗","premium","埃塞俄比亚","柠檬 蜜桃 李子 乌龙茶","Ana Dora","2025","","225.0","225.0","G1","1900-2350M","886g/l","酵素水洗","Heirloom"
